City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
556,Inverell,AU,87.67,few clouds,-29.7833,151.1167,
563,Mitu,CO,71.92,overcast clouds,1.1983,-70.1733,
565,Dakar,SN,72.48,scattered clouds,14.6937,-17.4441,
567,Houston,US,76.37,mist,29.7633,-95.3633,
570,French Harbor,HN,80.6,few clouds,16.35,-86.4333,
574,Sal Rei,CV,73.13,scattered clouds,16.1833,-22.9167,
575,Mecca,SA,73.67,light rain,21.4267,39.8261,
577,Vallenar,CL,71.2,clear sky,-28.5708,-70.7581,
578,Sungai Besar,MY,78.4,overcast clouds,3.6746,100.9867,
580,Mareeba,AU,79.52,light rain,-17.0,145.4333,
582,Daru,PG,89.83,overcast clouds,-9.0763,143.2092,
585,Labuan,MY,79.16,scattered clouds,5.2767,115.2417,
586,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,
587,Dzidzantun,MX,77.49,broken clouds,21.25,-89.05,
589,Kirakira,SB,84.43,moderate rain,-10.4544,161.9205,
590,Gashua,NG,60.6,overcast clouds,12.871,11.0482,
592,Tomatlan,MX,70.59,overcast clouds,19.9333,-105.25,
595,Honiara,SB,82.8,broken clouds,-9.4333,159.95,
596,Kandrian,PG,87.01,overcast clouds,-6.2167,149.55,
598,Picota,PE,84.69,overcast clouds,-6.9197,-76.3304,
600,Kalabo,ZM,64.38,overcast clouds,-14.97,22.6814,
601,Mahad,IN,69.78,clear sky,18.0833,73.4167,
604,Boyolangu,ID,83.05,overcast clouds,-8.1181,111.8935,
605,Karaton,ID,78.75,moderate rain,-6.3424,106.1045,
606,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,
607,Pisco,PE,69.03,moderate rain,-13.7,-76.2167,
609,Lumphat,KH,79.77,few clouds,13.4878,106.9816,
611,Sawakin,SD,74.84,overcast clouds,19.1059,37.3321,
613,Yeppoon,AU,89.38,few clouds,-23.1333,150.7333,
616,Juba,SS,76.66,scattered clouds,4.8517,31.5825,
619,Bantogon,PH,79.29,overcast clouds,6.5333,124.0333,
621,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,
625,Gopalpur,IN,70.57,clear sky,19.2667,84.9167,
629,Pedreira,BR,74.07,overcast clouds,-22.7419,-46.9014,
630,Rio Grande,BR,70.09,clear sky,-32.035,-52.0986,
633,Machico,PT,61.72,light rain,32.7,-16.7667,
639,Mercedes,AR,69.04,clear sky,-34.6515,-59.4307,
640,Goundam,ML,63.61,broken clouds,16.4145,-3.6708,
644,Pallisa,UG,63.68,clear sky,1.145,33.7094,
645,Bosaso,SO,72.64,clear sky,11.2842,49.1816,
646,Mahibadhoo,MV,80.4,clear sky,3.7833,72.9667,
648,Mangrol,IN,63.57,scattered clouds,21.1167,70.1167,
649,Miraflores,MX,60.87,scattered clouds,19.2167,-98.8083,
651,Sinjai,ID,85.64,overcast clouds,-5.1241,120.253,
652,Dubti,ET,69.82,few clouds,11.7361,41.0853,
